Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K1,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K1,Al,ppm,0.1(0.2),5,0.18,0.005,0.005,0.03,0.005
K1,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K1,B,ppm,0.5,3,0.005,0.78,0.16,0.29,0.005
K1,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K1,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K1,Br-,ppm,(6)2,-,1.82,26.7,0.88,15.34,11.53
K1,Ca,ppm,300,-,39.7,36.1,43.6,55.4,54.3
K1,Cd,ppm,3,0.01,1,1,1,1,1
K1,Cl-,ppm,250(400),600,156.8,108.1,118.8,69.8,112.2
K1,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K1,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K1,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K1,Electrical Conductivity,mS.cm-1,1.5,3,1.26,0.935,0.983,0.835,0.911
K1,F-,ppm,0.5-1.5,1,0.15,0.33,0.005,0.005,0.005
K1,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
K1,Hg,ppm,6,-,1,1,1,1,1
K1,K,ppm,12,-,1.92,1.78,3.88,2.54,1.32
K1,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K1,Mg,ppm,30,100,13.87,12.5,10.4,9.34,10.32
K1,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K1,Mo,ppm,0.07,0.01,0.005,0.005,0.25,0.005,0.005
K1,Na,ppm,200,-,325.22,272.6,123.6,92.59,187.2
K1,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K1,Opacity,NTU,≤1(5),50,39.14,27.08,4.62,32.71,54.15
K1,Oxygen Solution,ppm,-,2,3.2,2.7,1.3,1.8,0.8
K1,P,ppm,-,-,0.37,69,0.12,0.14,88
K1,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K1,pH,-,6.5-8.5(9),5.4-6.8,8.1,7.85,8.13,7.98,8.45
K1,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K1,Se,ppm,0.01,0.02,0.005,0.005,0.13,0.005,0.005
K1,Si,ppm,-,-,18.16,12.5,8.03,10.3,5.64
K1,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K1,Sr,ppm,7,-,0.52,0.74,0.75,0.31,0.22
K1,Temperature,◦C,-,-,18.2,24.3,24.5,22.5,19.5
K1,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K1,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K1,TOC,ppm,2,4,1.874,1.62,3.784,4.71,2.418
K1,Total Soluble Solids,ppm,1000(1500),-,807.4,598.4,498,534.1,582.1
K1,V,ppm,0.1,0.1,0.05,0.74,0.005,0.005,0.005
K1,Zn,ppm,3,2,0.005,0.005,0.005,0.005,0.005
K10,Ag,ppm,-,0.1,0.005,0.005,0.005,0.005,0.005
K10,Al,ppm,0.1(0.2),5,0.005,0.24,0.27,0.18,0.09
K10,As,ppm,0.01,0.1,0.005,0.005,0.005,0.005,0.005
K10,B,ppm,0.5,3,0.005,0.005,0.3,0.11,0.005
K10,Ba,ppm,0.7,1,0.005,0.005,0.005,0.005,0.005
K10,Bi,ppm,-,0.5,0.005,0.005,0.005,0.005,0.005
K10,Br-,ppm,(6)2,-,23.4,1.89,0.005,13.3,52.2
K10,Ca,ppm,300,-,51.7,62.2,69.3,58.4,40.5
K10,Cd,ppm,3,0.01,1,1,1,1,1
K10,Cl-,ppm,250(400),600,37.1,34.2,157.2,92.3,73.8
K10,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K10,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K10,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K10,Electrical Conductivity,mS.cm-1,1.5,3,1.83,1.23,1.28,1.84,1.48
K10,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.005,0.74
K10,Fe,ppm,0.3,5,0.11,0.18,0.17,0.29,0.14
K10,Hg,ppm,6,-,1,1,1,1,1
K10,K,ppm,12,-,6.8,12.3,15.6,8.97,18.8
K10,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K10,Mg,ppm,30,100,15.1,4.1,17.2,17.4,11.03
K10,Mn,ppm,0.1(0.4),0.2,0.005,0.32,0.72,0.22,0.13
K10,Mo,ppm,0.07,0.01,0.005,0.005,0.12,0.23,0.005
